N=4,N=4,N=4,N=4,N=4,N=4
0,0.808610618,0,0.864877284,0,0.743808568
5.596155643,0.786742151,5.373960018,0.8438375,5.840339184,0.728551626
11.40326595,0.747937083,11.00366783,0.794062912,11.8187809,0.701396704
17.60128975,0.706038117,17.06207085,0.752447903,18.18030357,0.664357245
23.28249168,0.699763298,22.46965027,0.756471455,24.05758476,0.659489691
29.17939949,0.684367776,28.19384766,0.722135067,30.08236885,0.66113764
34.92217255,0.764814377,33.76286316,0.789858937,35.90695953,0.750292301
40.32340622,0.87660706,39.09509277,0.897520065,41.34631348,0.859909832
45.42144775,0.950639606,44.10158157,0.969193876,46.48258209,0.934309363
50.80225754,0.829867601,49.48131561,0.819246411,51.91986847,0.83521378
57.4131012,0.833404124,56.37778854,0.808323503,58.31839371,0.855064034
63.41754532,0.933902442,62.60133743,0.91046375,64.13402557,0.956046224
68.42842865,1.022375107,67.76695251,0.999596,69.03534698,1.043644667
71.86771393,1.08004415,71.29376984,1.060325623,72.39347839,1.100941777
73.64567566,1.112335205,73.10687256,1.092568159,74.12021637,1.130880117
76.23527527,1.161470175,75.73668671,1.140966058,76.65809631,1.178826332
79.05753326,1.215690255,78.63282776,1.196107864,79.43523407,1.232103467
81.92398071,1.263947248,81.54574585,1.249197364,82.24576569,1.282031417
84.81536102,1.313929319,84.45084381,1.302504778,85.02893066,1.344466209
87.58866882,1.388478041,87.23381805,1.364337802,87.71599579,1.418609858
90.46552277,1.482278228,90.24276733,1.461164474,90.4249115,1.491040826
92.79447937,1.529276252,92.57319641,1.520679355,92.89560699,1.534308672
95.28160095,1.533310533,95.10040283,1.524203181,95.3562851,1.549383998
97.8889389,1.543504953,97.69152069,1.530100584,97.92236328,1.56545496
100.5401688,1.549550176,100.398674,1.530570745,100.5496445,1.5737077
